'Page Number,'Tipo,'Texto,'Confidence Score % (Line),
"'1","'LINE","'Os aplicativos do LLM são alimentados por ""agentes"" do","'97.98332977"
"'1","'LINE","'LLM, que é um programa que divide uma entrada (pergunta","'97.83621979"
"'1","'LINE","'do usuário final) em execuções passo a passo para","'98.18650055"
"'1","'LINE","'Técnicas de","'98.43848419"
"'1","'LINE","'responder à pergunta","'97.51149750"
"'1","'LINE","'Sequência de chamadas de operações, LLMs, ferramentas","'91.01988983"
"'1","'LINE","'IS","'75.08439636"
"'1","'LINE","'estímulo","'96.52043915"
"'1","'LINE","'de software ou etapas de pré-processamento de dados","'99.00999451"
"'1","'LINE","'aws","'99.36797333"
"'1","'LINE","'Cloud","'99.93560028"
"'1","'LINE","'Experience","'99.87094116"
"'1","'LINE","'baseadas em","'99.45645142"
"'1","'LINE","'Por exemplo, um chatbot de comércio eletrônico poderia ter","'93.82293701"
"'1","'LINE","'2025","'99.93892670"
"'1","'LINE","'a seguinte ""cadeia"" depois de receber uma entrada:","'95.10848236"
"'1","'LINE","'cadeias","'99.48679352"
"'1","'LINE","'classificar a entrada (por exemplo, sobre 0 que é a","'92.22688293"
"'1","'LINE","'pergunta? desconto? política de devolução?)","'90.62503815"
"'1","'LINE","'formato de resposta","'99.43788910"
"'1","'LINE","'fazer uma chamada para a OpenAl","'94.22749329"
"'1","'LINE","'retornar a resposta ao usuário","'96.33996582"
"'1","'LINE","'DATADOG","'98.95151520"
