'Page Number,'Tipo,'Texto,'Confidence Score % (Line),
"'1","'LINE","'Cloud","'90.99386597"
"'1","'LINE","'aws","'61.68417358"
"'1","'LINE","'Experience","'99.63228607"
"'1","'LINE","'Construindo modelos de séries EXCESSO temporais DE OFERTA","'95.77299500"
"'1","'LINE","'2025","'99.46378326"
"'1","'LINE","'EQUILIBRIO QUE BUSCA MINIMIZAR A FALTA E 0","'97.07930756"
"'1","'LINE","'UM","'98.78553009"
"'1","'LINE","'a","'59.65128708"
"'1","'LINE","'História","'96.18554688"
"'1","'LINE","'Futuro","'99.80115509"
"'1","'LINE","'conhecida","'99.50524902"
"'1","'LINE","'desconhecido","'98.60194397"
