'Page Number,'Tipo,'Texto,'Confidence Score % (Line),
"'1","'LINE","'Preparar dados","'99.35295868"
"'1","'LINE","'aws","'96.46128082"
"'1","'LINE","'Cloud","'99.53107452"
"'1","'LINE","'Experience","'99.72162628"
"'1","'LINE","'2025","'99.93775177"
"'1","'LINE","'Mais de 50 conectores de","'99.48896790"
"'1","'LINE","'dados","'99.62767029"
"'1","'LINE","'Data","'80.96693420"
"'1","'LINE","'rience","'99.55113220"
"'1","'LINE","'Visualize sua pipeline de","'99.54183960"
"'1","'LINE","'preparação de dados","'98.85121918"
"'1","'LINE","'a","'96.08316803"
"'1","'LINE","'Informações valiosas de","'96.57778168"
"'1","'LINE","'dados fornecidas por ML","'99.34863281"
"'1","'LINE","'Visualizações integradas","'97.50631714"
"'1","'LINE","'Mais de 300 transformações","'98.46803284"
