'Page Number,'Tipo,'Texto,'Confidence Score % (Line),
"'1","'LINE","'Cloud","'93.66297913"
"'1","'LINE","'Limite o acesso aos seus dados, modelos e outputs aws","'95.44063568"
"'1","'LINE","'Experience","'99.61010742"
"'1","'LINE","'2025","'99.90028381"
"'1","'LINE","'identidade e zero trust para controlar o acesso a dados em","'95.70312500"
"'1","'LINE","'cargas Use de trabalho de IA generativa","'98.64538574"
"'1","'LINE","'dados de treinamento, modelos e aplicativos","'98.89871979"
"'1","'LINE","'Aplique uma política de privilégios mínimos aos","'97.58621216"
"'1","'LINE","'usando o AWS IAM Identity Center e o IAM Access","'90.67134857"
"'1","'LINE","'nce","'98.51350403"
"'1","'LINE","'Ca","'27.65698814"
"'1","'LINE","'®","'20.61561012"
"'1","'LINE","'Analyzer.","'94.16777039"
"'1","'LINE","'av","'98.71125793"
"'1","'LINE","'AWS IAM","'96.33000946"
"'1","'LINE","'Amazon Verified","'99.20130157"
"'1","'LINE","'Identity Center","'98.14002991"
"'1","'LINE","'Permissions","'99.14028168"
"'1","'LINE","'Explore mais recursos de Zero Trust para","'99.77069855"
"'1","'LINE","'adicionar controles de acesso detalhados com O","'94.65386963"
"'1","'LINE","'AWS Verified Access e O Amazon Verified","'93.04761505"
"'1","'LINE","'Permissions.","'98.81797028"
"'1","'LINE","'IAM","'97.82524109"
"'1","'LINE","'AWS Verified","'99.74094391"
"'1","'LINE","'Access Analyzer","'99.49857330"
"'1","'LINE","'Access","'99.93729401"
"'1","'LINE","'Use O AWS Verified Access para eliminar ainda","'95.06591034"
"'1","'LINE","'mais os custos, a complexidade e os problemas de","'98.36682129"
"'1","'LINE","'desempenho relacionados às VPNs.","'97.96247101"
"'1","'LINE","'19","'86.07997894"
