'Page Number,'Tipo,'Texto,'Confidence Score % (Line),
"'1","'LINE","'Solução de problemas","'98.76949310"
"'1","'LINE","'Visualize todas as etapas das cadeias de aplicativos e chamadas do LLM para identificar solicitações","'98.97014618"
"'1","'LINE","'problemáticas e identificar a causa raiz dos erros","'96.59745789"
"'1","'LINE","'LLM Observability","'99.75192261"
"'1","'LINE","'Traces","'89.89166260"
"'1","'LINE","'Clasters","'38.24446487"
"'1","'LINE","'LLM Calls","'46.44642639"
"'1","'LINE","'2","'81.09957886"
"'1","'LINE","'Models","'85.96323395"
"'1","'LINE","'aws","'99.41786194"
"'1","'LINE","'aws","'97.90363312"
"'1","'LINE","'Quality Metrics","'49.08338547"
"'1","'LINE","'INPUT","'97.90767670"
"'1","'LINE","'OUTPUT","'95.82549286"
"'1","'LINE","'Status","'83.31209564"
"'1","'LINE","'ON","'50.64207458"
"'1","'LINE","'Error","'81.58831024"
"'1","'LINE","'E","'24.89087677"
